** CONVERTED FROM /Users/nuhajabakhanji/Dropbox/SR Research PTB Demos/pursuit/DEMO.edf using edfapi 3.0 MacOS X Sep 19 2007 on Mon May  9 08:19:15 2011
** DATE: Mon May  9 08:18:51 2011
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BI9
** SERIAL NUMBER: CL1-77T66
** CAMERA_CONFIG: 77T66140.SCD
** Recorded by EyelinkToolbox demo-experiment
**

MSG	1975645 DISPLAY_COORDS 0 0 1568 945
INPUT	2027351	120
MSG	2027371 TRIALID 1
INPUT	2027372	120
INPUT	2027631	120
MSG	2029751 DRIFTCORRECT R REPEATING due to large error
MSG	2030453 DRIFTCORRECT R RIGHT at 262,473  OFFSET 3489926.25 deg.  99999696.0,99999528.0 pix.
INPUT	2030832	120
MSG	2030886 RECCFG CR 1000 2 1 R
MSG	2030886 ELCLCFG MTABLER
MSG	2030886 GAZE_COORDS 0.00 0.00 1568.00 945.00
MSG	2030886 THRESHOLDS R 110 226
MSG	2030886 ELCL_PROC CENTROID (3)
MSG	2030886 ELCL_PCR_PARAM 5 3.0
START	2030887 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	2030887 !MODE RECORD CR 1000 2 1 R
INPUT	2030887	120
2031173	  745.1	  471.5	 1000.0	...
2031174	  745.1	  471.5	 1000.0	...
2031175	  745.1	  471.5	 1000.0	...
2031176	  745.1	  471.5	 1000.0	...
2031177	  745.1	  471.5	 1000.0	...
2031178	  745.1	  471.5	 1000.0	...
2031179	  745.1	  471.5	 1000.0	...
2031180	  745.1	  471.5	 1000.0	...
2031181	  745.1	  471.5	 1000.0	...
2031182	  745.1	  471.5	 1000.0	...
2031183	  745.1	  471.5	 1000.0	...
2031184	  745.1	  471.5	 1000.0	...
2031185	  745.1	  471.5	 1000.0	...
2031186	  745.1	  471.5	 1000.0	...
2031187	  745.1	  471.5	 1000.0	...
MSG	2031188 SYNCTIME
MSG	2031188 !V TARGET_POS TARG1 (274, 473) 1 0
2031188	  745.1	  471.5	 1000.0	...
2031189	  745.1	  471.5	 1000.0	...
2031190	  745.1	  471.5	 1000.0	...
2031191	  745.1	  471.5	 1000.0	...
2031192	  745.1	  471.5	 1000.0	...
2031193	  745.1	  471.5	 1000.0	...
2031194	  745.1	  471.5	 1000.0	...
2031195	  745.1	  471.5	 1000.0	...
2031196	  745.1	  471.5	 1000.0	...
2031197	  745.1	  471.5	 1000.0	...
2031198	  745.1	  471.5	 1000.0	...
2031199	  745.1	  471.5	 1000.0	...
2031200	  745.1	  471.5	 1000.0	...
2031201	  745.1	  471.5	 1000.0	...
2031202	  745.1	  471.5	 1000.0	...
2031203	  745.1	  471.5	 1000.0	...
2031204	  745.1	  471.5	 1000.0	...
MSG	2031205 SYNCTIME
MSG	2031205 !V TARGET_POS TARG1 (276, 473) 1 0
2031205	  745.1	  471.5	 1000.0	...
2031206	  745.1	  471.5	 1000.0	...
2031207	  745.1	  471.5	 1000.0	...
2031208	  745.1	  471.5	 1000.0	...
2031209	  745.1	  471.5	 1000.0	...
2031210	  745.1	  471.5	 1000.0	...
2031211	  745.1	  471.5	 1000.0	...
2031212	  745.1	  471.5	 1000.0	...
2031213	  745.1	  471.5	 1000.0	...
2031214	  745.1	  471.5	 1000.0	...
2031215	  745.1	  471.5	 1000.0	...
2031216	  745.1	  471.5	 1000.0	...
2031217	  745.1	  471.5	 1000.0	...
2031218	  745.1	  471.5	 1000.0	...
2031219	  745.1	  471.5	 1000.0	...
2031220	  745.1	  471.5	 1000.0	...
2031221	  745.1	  471.5	 1000.0	...
MSG	2031222 SYNCTIME
MSG	2031222 !V TARGET_POS TARG1 (279, 473) 1 0
2031222	  745.1	  471.5	 1000.0	...
2031223	  745.1	  471.5	 1000.0	...
2031224	  745.1	  471.5	 1000.0	...
2031225	  745.1	  471.5	 1000.0	...
2031226	  745.1	  471.5	 1000.0	...
2031227	  745.1	  471.5	 1000.0	...
2031228	  745.1	  471.5	 1000.0	...
2031229	  745.1	  471.5	 1000.0	...
2031230	  745.1	  471.5	 1000.0	...
2031231	  745.1	  471.5	 1000.0	...
2031232	  745.1	  471.5	 1000.0	...
2031233	  745.1	  471.5	 1000.0	...
2031234	  745.1	  471.5	 1000.0	...
2031235	  745.1	  471.5	 1000.0	...
2031236	  745.1	  471.5	 1000.0	...
2031237	  745.1	  471.5	 1000.0	...
MSG	2031238 SYNCTIME
MSG	2031238 !V TARGET_POS TARG1 (282, 473) 1 0
2031238	  745.1	  471.5	 1000.0	...
2031239	  745.1	  471.5	 1000.0	...
2031240	  745.1	  471.5	 1000.0	...
2031241	  745.1	  471.5	 1000.0	...
2031242	  745.1	  471.5	 1000.0	...
2031243	  745.1	  471.5	 1000.0	...
2031244	  745.1	  471.5	 1000.0	...
2031245	  745.1	  471.5	 1000.0	...
2031246	  745.1	  471.5	 1000.0	...
2031247	  745.1	  471.5	 1000.0	...
2031248	  745.1	  471.5	 1000.0	...
2031249	  745.1	  471.5	 1000.0	...
2031250	  745.1	  471.5	 1000.0	...
2031251	  745.1	  471.5	 1000.0	...
2031252	  745.1	  471.5	 1000.0	...
2031253	  745.1	  471.5	 1000.0	...
2031254	  745.1	  471.5	 1000.0	...
2031255	  745.1	  471.5	 1000.0	...
MSG	2031256 SYNCTIME
MSG	2031256 !V TARGET_POS TARG1 (285, 473) 1 0
2031256	  745.1	  471.5	 1000.0	...
2031257	  745.1	  471.5	 1000.0	...
2031258	  745.1	  471.5	 1000.0	...
2031259	  745.1	  471.5	 1000.0	...
2031260	  745.1	  471.5	 1000.0	...
2031261	  745.1	  471.5	 1000.0	...
2031262	  745.1	  471.5	 1000.0	...
2031263	  745.1	  471.5	 1000.0	...
2031264	  745.1	  471.5	 1000.0	...
2031265	  745.1	  471.5	 1000.0	...
2031266	  745.1	  471.5	 1000.0	...
2031267	  745.1	  471.5	 1000.0	...
2031268	  745.1	  471.5	 1000.0	...
2031269	  745.1	  471.5	 1000.0	...
2031270	  745.1	  471.5	 1000.0	...
2031271	  745.1	  471.5	 1000.0	...
